name,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Load1_cur_mu,0.412103,0.387682,0.391905,0.382514,0.380176,0.376990,0.379632,0.371624,0.361036,0.370519,0.364747,0.368924,0.364444,0.376907,0.383799,0.390812,0.393168,0.416221,0.437869,0.452459,0.473239,0.498480,0.532217,0.557451,0.570066,0.588518,0.610917,0.617975,0.652620,0.673597,0.673826,0.694201,0.692761,0.732100,0.746508,0.755784,0.777249,0.774342,0.772846,0.776035,0.795921,0.793238,0.795450,0.806459,0.799948,0.811633,0.799318,0.803000,0.810508,0.799662,0.799143,0.810095,0.787747,0.798089,0.795899,0.805239,0.811389,0.802184,0.810564,0.796698,0.812472,0.807914,0.798191,0.806407,0.821775,0.811792,0.819463,0.834650,0.835558,0.807787,0.851383,0.814575,0.821565,0.819943,0.817526,0.811189,0.792700,0.795552,0.785837,0.795232,0.775348,0.762292,0.728547,0.718701,0.677412,0.644817,0.615091,0.573812,0.551982,0.523685,0.501226,0.464960,0.452575,0.447327,0.448560,0.464157
Load1_cur_sigma,0.032734,0.038360,0.038186,0.044856,0.037975,0.030807,0.035649,0.042030,0.035730,0.041283,0.039965,0.036508,0.034619,0.030950,0.033722,0.035804,0.043057,0.043047,0.046808,0.053404,0.049303,0.046585,0.052280,0.055654,0.058813,0.056034,0.055396,0.058517,0.065030,0.070208,0.072202,0.070354,0.068869,0.074001,0.068209,0.085276,0.079564,0.076901,0.074959,0.073204,0.074296,0.074139,0.088524,0.070428,0.078867,0.086854,0.076690,0.079945,0.084577,0.077353,0.086713,0.075768,0.072385,0.090614,0.083023,0.071877,0.080695,0.080893,0.082435,0.076400,0.077204,0.077963,0.066501,0.088636,0.089719,0.081249,0.082154,0.086322,0.095604,0.078088,0.083202,0.086432,0.090306,0.094291,0.075206,0.093826,0.090968,0.074351,0.081605,0.077298,0.072696,0.069491,0.067252,0.062336,0.073907,0.065784,0.061928,0.057788,0.055950,0.052387,0.046994,0.051004,0.041761,0.044197,0.049728,0.044083
Load2_cur_mu,0.396358,0.387640,0.384158,0.379595,0.376824,0.379340,0.364584,0.365599,0.371108,0.368147,0.371549,0.371994,0.366048,0.363518,0.398348,0.386059,0.404294,0.416615,0.440043,0.451673,0.462900,0.508877,0.518661,0.540084,0.566674,0.593319,0.605859,0.611586,0.616084,0.666769,0.668730,0.686476,0.681990,0.715123,0.739974,0.749472,0.776240,0.794320,0.782523,0.793897,0.779990,0.802459,0.790231,0.810533,0.795130,0.811225,0.798214,0.810109,0.817348,0.809525,0.800972,0.811615,0.796618,0.789274,0.787954,0.806701,0.803481,0.797401,0.808106,0.826514,0.808777,0.820957,0.809480,0.825395,0.834037,0.832907,0.814909,0.814000,0.829667,0.822349,0.823605,0.829871,0.805911,0.812042,0.808935,0.813752,0.792821,0.774707,0.793083,0.785165,0.756531,0.760835,0.721645,0.706782,0.679106,0.650209,0.615510,0.581415,0.540605,0.515313,0.487299,0.480933,0.441699,0.444153,0.441665,0.440200
Load2_cur_sigma,0.031655,0.038267,0.037871,0.038269,0.038211,0.041421,0.031129,0.040706,0.041232,0.039393,0.036368,0.033312,0.033055,0.042206,0.031600,0.039046,0.039091,0.044459,0.046549,0.043119,0.049855,0.045948,0.064006,0.055487,0.061335,0.058102,0.050458,0.054749,0.059298,0.068373,0.066571,0.064820,0.077646,0.082342,0.068453,0.068177,0.078159,0.076835,0.068338,0.085389,0.074688,0.091807,0.077645,0.081562,0.082132,0.073423,0.086393,0.085740,0.096645,0.081993,0.085398,0.078801,0.085065,0.082668,0.095810,0.066193,0.073336,0.075917,0.074632,0.075266,0.093689,0.070246,0.074001,0.075882,0.082465,0.086802,0.085811,0.082124,0.090881,0.076291,0.088666,0.075638,0.087621,0.094965,0.069148,0.069930,0.078008,0.081815,0.089741,0.066726,0.074319,0.066529,0.070357,0.072946,0.061060,0.063398,0.068358,0.062640,0.056921,0.067739,0.049509,0.051140,0.042345,0.053013,0.050130,0.048039
Load3_cur_mu,0.400050,0.398940,0.380746,0.382742,0.380373,0.375358,0.380578,0.369641,0.363579,0.373390,0.364957,0.371231,0.366190,0.366619,0.379305,0.382984,0.393231,0.418212,0.438611,0.463930,0.477342,0.503836,0.521284,0.553990,0.571003,0.589075,0.605908,0.619660,0.631435,0.658248,0.665369,0.689447,0.714970,0.703807,0.725561,0.751179,0.787493,0.770981,0.775742,0.799740,0.805831,0.786281,0.788458,0.801150,0.801565,0.815576,0.798641,0.804189,0.806828,0.809089,0.797122,0.785079,0.784341,0.797386,0.798226,0.801128,0.792485,0.805734,0.810983,0.812406,0.810130,0.833874,0.822191,0.827311,0.813232,0.825553,0.829605,0.839564,0.843689,0.831286,0.815157,0.827431,0.819528,0.812973,0.810113,0.800292,0.800569,0.776374,0.774771,0.778952,0.780057,0.731250,0.715652,0.699160,0.675239,0.645199,0.615956,0.574791,0.544177,0.522861,0.494281,0.477264,0.450571,0.454613,0.457942,0.438350
Load3_cur_sigma,0.041644,0.045947,0.036397,0.035798,0.043619,0.041260,0.038422,0.037674,0.033517,0.034844,0.035505,0.036136,0.032558,0.035250,0.039373,0.039781,0.041528,0.041507,0.046465,0.042677,0.045072,0.055775,0.052464,0.046245,0.053927,0.056253,0.054011,0.063904,0.069137,0.054022,0.060379,0.067785,0.071298,0.068794,0.072795,0.075127,0.083001,0.075915,0.077636,0.065148,0.086705,0.066398,0.080778,0.066968,0.078366,0.084170,0.083508,0.079335,0.083168,0.083061,0.083883,0.087008,0.068002,0.080349,0.086594,0.069907,0.081015,0.091456,0.078871,0.075276,0.075695,0.096823,0.085260,0.077902,0.086615,0.071661,0.089206,0.096500,0.081044,0.071986,0.087166,0.090491,0.077557,0.079189,0.087814,0.079398,0.079066,0.076082,0.067817,0.073395,0.081921,0.078638,0.066443,0.059711,0.060493,0.060355,0.058281,0.057417,0.057917,0.050361,0.042019,0.042145,0.047974,0.039669,0.045485,0.047488
Load4_cur_mu,0.398671,0.401249,0.383792,0.389536,0.377746,0.388195,0.372480,0.378201,0.363213,0.368377,0.372312,0.374811,0.374431,0.375430,0.381734,0.383688,0.389374,0.415518,0.443554,0.454267,0.478740,0.503212,0.512814,0.554019,0.585964,0.579979,0.604223,0.602895,0.653944,0.642636,0.652986,0.681145,0.672273,0.717611,0.736413,0.746130,0.770209,0.765288,0.781437,0.788384,0.800940,0.807728,0.796329,0.792421,0.806874,0.808180,0.814163,0.805165,0.813436,0.802046,0.802940,0.797054,0.816932,0.790315,0.799988,0.806995,0.809992,0.797034,0.793449,0.791164,0.808612,0.820855,0.832783,0.815209,0.823177,0.824028,0.833779,0.831367,0.832657,0.832070,0.840858,0.830759,0.827977,0.814280,0.818699,0.812573,0.810020,0.802112,0.794158,0.775065,0.771621,0.728844,0.738449,0.704537,0.685920,0.650863,0.628025,0.596711,0.547583,0.531664,0.492575,0.480933,0.454518,0.439072,0.439105,0.451915
Load4_cur_sigma,0.043447,0.041207,0.032160,0.043494,0.035414,0.038351,0.039902,0.037604,0.031344,0.034762,0.033577,0.035803,0.034781,0.032381,0.035068,0.036011,0.047289,0.039553,0.042297,0.054874,0.053232,0.044222,0.055259,0.048771,0.055101,0.064875,0.059206,0.066912,0.075143,0.063837,0.062109,0.070999,0.070412,0.071651,0.075194,0.075335,0.072635,0.081487,0.084154,0.074777,0.084743,0.095958,0.074713,0.086028,0.086620,0.082376,0.080131,0.078749,0.078844,0.090619,0.080745,0.079174,0.072520,0.080070,0.082217,0.086721,0.077559,0.072558,0.093147,0.070989,0.074034,0.075940,0.081166,0.078919,0.076259,0.084194,0.072270,0.078645,0.080823,0.092535,0.069150,0.080919,0.069491,0.081218,0.083012,0.079035,0.092557,0.082237,0.075608,0.075440,0.080489,0.068522,0.070909,0.070768,0.062716,0.064552,0.062585,0.053261,0.055523,0.051215,0.050865,0.048456,0.043576,0.053860,0.049098,0.040374
Load5_cur_mu,0.396823,0.399506,0.385189,0.384136,0.379013,0.379337,0.375532,0.362399,0.368246,0.363966,0.368851,0.367663,0.363501,0.377323,0.381913,0.392639,0.393408,0.404055,0.441020,0.457303,0.469522,0.503156,0.536958,0.548264,0.581860,0.597513,0.610018,0.621757,0.631656,0.650194,0.675758,0.689628,0.705669,0.702103,0.713172,0.719064,0.755465,0.765169,0.773913,0.770775,0.795151,0.794302,0.789332,0.796483,0.794024,0.808135,0.807221,0.805877,0.805109,0.798483,0.795839,0.805436,0.798604,0.791627,0.783672,0.789701,0.800107,0.809824,0.809940,0.797943,0.815636,0.809811,0.829445,0.803771,0.841546,0.825175,0.828591,0.833131,0.826398,0.819605,0.819825,0.823484,0.797285,0.826616,0.815638,0.831809,0.798436,0.816089,0.792136,0.772198,0.762428,0.755372,0.714325,0.695953,0.686862,0.675618,0.617124,0.574522,0.549592,0.517135,0.492805,0.471812,0.445628,0.453967,0.445446,0.452325
Load5_cur_sigma,0.041165,0.043433,0.037070,0.035320,0.038530,0.035449,0.036996,0.031975,0.037106,0.032748,0.036530,0.040598,0.033367,0.039391,0.039789,0.034150,0.037130,0.038162,0.049033,0.050008,0.047217,0.054302,0.066776,0.056977,0.056259,0.061015,0.064620,0.069493,0.055545,0.067500,0.067912,0.071000,0.075250,0.069040,0.076205,0.071562,0.063481,0.089088,0.082239,0.063240,0.073819,0.087949,0.075344,0.082418,0.075517,0.078752,0.087886,0.076235,0.095160,0.084532,0.074391,0.072263,0.092887,0.073098,0.077084,0.073997,0.080550,0.079046,0.078993,0.083704,0.076603,0.084597,0.084308,0.069923,0.075881,0.068857,0.078005,0.081129,0.082460,0.089135,0.093245,0.090338,0.081528,0.079202,0.078039,0.097049,0.066414,0.084224,0.098523,0.078967,0.081293,0.079747,0.058655,0.080746,0.061768,0.065055,0.067176,0.058590,0.057179,0.047886,0.051082,0.046294,0.048840,0.049886,0.054791,0.042953
Load6_cur_mu,0.391860,0.398354,0.390223,0.378779,0.382576,0.379935,0.374336,0.374132,0.366718,0.374268,0.369813,0.369507,0.363012,0.380509,0.391738,0.386257,0.394505,0.421146,0.432636,0.449331,0.480605,0.508263,0.527490,0.568745,0.598143,0.590548,0.606768,0.621344,0.641577,0.651590,0.664037,0.681188,0.695356,0.715738,0.714168,0.763611,0.767083,0.770688,0.775932,0.803727,0.797043,0.795247,0.780029,0.801115,0.812738,0.797021,0.803552,0.812013,0.807598,0.812117,0.804460,0.794566,0.800164,0.807407,0.795920,0.803213,0.792725,0.788297,0.811470,0.816988,0.817434,0.824984,0.804473,0.815072,0.823751,0.825708,0.828749,0.827668,0.825085,0.829760,0.832583,0.807616,0.835750,0.804899,0.807395,0.811941,0.803000,0.791934,0.782724,0.770342,0.750530,0.735122,0.720146,0.701494,0.693462,0.649993,0.615575,0.588403,0.559697,0.515594,0.485979,0.476835,0.448244,0.442573,0.453938,0.440640
