name,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Load6_cur_sigma,0.042161,0.049211,0.043688,0.037202,0.036162,0.039683,0.032106,0.031519,0.035996,0.040182,0.032036,0.036529,0.038208,0.038568,0.041407,0.036409,0.039558,0.042658,0.042678,0.050233,0.044251,0.049921,0.052462,0.056408,0.065167,0.061040,0.059065,0.058020,0.069728,0.059909,0.065793,0.072537,0.077923,0.053948,0.059243,0.075272,0.079780,0.077850,0.072324,0.079413,0.081912,0.079528,0.075923,0.073715,0.080925,0.083377,0.084752,0.084563,0.074281,0.079804,0.075908,0.072293,0.081514,0.080448,0.080609,0.077466,0.084661,0.095091,0.084152,0.076775,0.078996,0.083489,0.083913,0.075813,0.086383,0.085022,0.078956,0.081841,0.072549,0.095097,0.080243,0.085403,0.079963,0.087890,0.077087,0.071158,0.073297,0.080915,0.077531,0.069778,0.074755,0.079911,0.065453,0.070855,0.070895,0.060095,0.065052,0.054391,0.057150,0.048055,0.049780,0.046864,0.049311,0.043430,0.043795,0.051726
Load7_cur_mu,0.396140,0.394073,0.383510,0.384610,0.376818,0.380955,0.374009,0.375793,0.367658,0.366927,0.364549,0.367501,0.371955,0.370850,0.386527,0.386141,0.399836,0.418754,0.437976,0.459896,0.473797,0.505400,0.522756,0.560162,0.570275,0.586566,0.606708,0.612590,0.638813,0.642412,0.671868,0.685148,0.697180,0.708205,0.719442,0.735411,0.748241,0.753608,0.781925,0.787393,0.798633,0.801872,0.797257,0.797670,0.800189,0.788082,0.809576,0.797720,0.796356,0.787615,0.794239,0.773315,0.805409,0.784373,0.808149,0.796078,0.797603,0.803596,0.795381,0.801383,0.818807,0.807128,0.816517,0.818825,0.827180,0.839975,0.829530,0.841035,0.822176,0.812453,0.814134,0.825541,0.846272,0.814276,0.816895,0.800891,0.814400,0.793884,0.788916,0.780618,0.760129,0.734168,0.718708,0.712924,0.682365,0.636735,0.609941,0.588949,0.547459,0.515539,0.505249,0.475380,0.447263,0.448248,0.447252,0.446818
Load7_cur_sigma,0.037610,0.038738,0.039528,0.038214,0.041108,0.033982,0.042252,0.033626,0.038483,0.038378,0.036846,0.035055,0.037740,0.031962,0.037579,0.038111,0.041669,0.038772,0.048817,0.041045,0.044422,0.051568,0.051127,0.048249,0.054560,0.058970,0.064480,0.059456,0.044781,0.060979,0.065691,0.065942,0.065302,0.062529,0.079671,0.081405,0.065506,0.074815,0.072406,0.088261,0.075877,0.073834,0.079129,0.079497,0.084799,0.073129,0.072999,0.080776,0.084239,0.084090,0.090567,0.070364,0.087012,0.096636,0.084522,0.082624,0.068265,0.084163,0.078120,0.086101,0.076777,0.086988,0.081634,0.079363,0.072879,0.082836,0.076559,0.075723,0.086799,0.086504,0.095005,0.080124,0.086634,0.074998,0.088915,0.081806,0.065805,0.085468,0.079416,0.067127,0.071103,0.076742,0.072237,0.066287,0.059606,0.055096,0.058442,0.067787,0.051958,0.056921,0.047210,0.054264,0.044236,0.047044,0.043435,0.037706
Load8_cur_mu,0.403495,0.393600,0.385569,0.381493,0.372781,0.376135,0.374248,0.374959,0.366237,0.376631,0.373371,0.369694,0.378132,0.379638,0.386408,0.390237,0.393012,0.420591,0.437638,0.462795,0.475931,0.499101,0.534107,0.555963,0.573498,0.589952,0.599947,0.606570,0.638623,0.650733,0.668401,0.673133,0.689769,0.731144,0.724256,0.760134,0.779878,0.775163,0.781601,0.790993,0.798258,0.809392,0.796333,0.800360,0.810653,0.804790,0.798184,0.805837,0.820985,0.792989,0.816950,0.805037,0.791092,0.797897,0.811628,0.824171,0.804054,0.803046,0.806998,0.802428,0.816379,0.818941,0.825166,0.840062,0.830544,0.848167,0.802954,0.809445,0.827571,0.809107,0.849881,0.805793,0.818213,0.824266,0.804724,0.804544,0.808854,0.795275,0.764475,0.764408,0.739255,0.726667,0.726289,0.698319,0.680381,0.661389,0.626969,0.583620,0.556407,0.536582,0.497364,0.471346,0.452044,0.444348,0.448513,0.457378
Load8_cur_sigma,0.039569,0.049807,0.042204,0.035209,0.036215,0.040332,0.037898,0.031447,0.039576,0.039771,0.042927,0.034947,0.033251,0.033221,0.040269,0.044478,0.040951,0.041539,0.039451,0.040067,0.048587,0.048332,0.053720,0.053146,0.052626,0.065166,0.068514,0.068023,0.070384,0.072374,0.068026,0.066856,0.062264,0.074377,0.076013,0.067965,0.081060,0.079272,0.074015,0.085969,0.072451,0.078356,0.078409,0.080174,0.072302,0.082710,0.066013,0.079062,0.073850,0.078663,0.079478,0.067545,0.083656,0.068008,0.082013,0.083894,0.085398,0.082138,0.069003,0.086571,0.084190,0.091788,0.077243,0.066707,0.082324,0.085893,0.069913,0.086542,0.097911,0.079218,0.079165,0.083605,0.087986,0.072413,0.070074,0.089043,0.088990,0.079960,0.074150,0.072583,0.075872,0.068697,0.070684,0.068123,0.070636,0.068019,0.050165,0.057786,0.050184,0.050045,0.051918,0.044319,0.045527,0.043761,0.049062,0.043938
Load9_cur_mu,0.397189,0.387098,0.385706,0.385960,0.379545,0.377959,0.376196,0.368972,0.368991,0.368846,0.371273,0.374411,0.365377,0.372187,0.379191,0.377702,0.393644,0.410356,0.431385,0.457479,0.476388,0.504014,0.517387,0.556600,0.581917,0.600483,0.603803,0.630168,0.641376,0.638518,0.695435,0.690594,0.705828,0.716013,0.740049,0.741814,0.754484,0.762315,0.779914,0.772405,0.796136,0.786698,0.791353,0.814966,0.803153,0.786744,0.796027,0.801782,0.811081,0.806260,0.791588,0.800901,0.804931,0.790829,0.806164,0.797329,0.804346,0.790587,0.817194,0.798540,0.810115,0.816294,0.797780,0.842260,0.817086,0.840514,0.810931,0.825934,0.829119,0.838912,0.825135,0.832017,0.835283,0.839013,0.812911,0.812958,0.799599,0.803665,0.797715,0.765761,0.755398,0.743810,0.734624,0.703829,0.671010,0.658180,0.614395,0.584347,0.545861,0.530454,0.495816,0.473481,0.441412,0.450839,0.451091,0.452132
Load9_cur_sigma,0.039752,0.032371,0.042689,0.040565,0.034946,0.042436,0.040329,0.036378,0.044778,0.036534,0.044625,0.030400,0.038288,0.039575,0.038756,0.039156,0.035444,0.046261,0.048254,0.045321,0.044500,0.050932,0.047914,0.053573,0.062279,0.056409,0.061796,0.062290,0.066924,0.061930,0.055558,0.059326,0.067653,0.069012,0.067300,0.078559,0.080626,0.074738,0.076508,0.076088,0.087357,0.079276,0.074399,0.079136,0.080070,0.075482,0.063931,0.090290,0.067533,0.098263,0.080680,0.082038,0.079271,0.085758,0.075261,0.065949,0.078145,0.077841,0.081883,0.089745,0.092422,0.089722,0.083185,0.076033,0.069325,0.074319,0.081892,0.081570,0.081295,0.078779,0.084439,0.093687,0.081963,0.086297,0.082743,0.077135,0.061924,0.089770,0.079583,0.093292,0.087707,0.081503,0.076495,0.060432,0.056747,0.069543,0.061183,0.053320,0.058071,0.045051,0.045267,0.049472,0.050593,0.041148,0.045218,0.043281
Load10_cur_mu,0.398074,0.395184,0.388967,0.387306,0.381096,0.376303,0.372593,0.374138,0.373213,0.364111,0.374613,0.373440,0.364625,0.371346,0.377437,0.385245,0.389515,0.417821,0.433391,0.451660,0.475321,0.505362,0.536524,0.548593,0.575809,0.577647,0.605187,0.618101,0.636924,0.658207,0.673464,0.698034,0.695113,0.714016,0.724594,0.763103,0.776579,0.763795,0.782231,0.817211,0.806740,0.769786,0.796615,0.806232,0.811507,0.813821,0.803129,0.804393,0.810867,0.801244,0.793828,0.800215,0.802358,0.817675,0.798964,0.784213,0.790767,0.823335,0.817984,0.799134,0.824280,0.812394,0.821359,0.814824,0.804484,0.835615,0.819544,0.822566,0.825067,0.831756,0.828474,0.813800,0.806402,0.822413,0.818594,0.798126,0.818105,0.800702,0.759277,0.779112,0.759920,0.724679,0.715422,0.685304,0.665669,0.634154,0.609972,0.573715,0.548339,0.529804,0.499141,0.470890,0.446089,0.450697,0.437387,0.444086
Load10_cur_sigma,0.040860,0.036178,0.042111,0.038146,0.035150,0.037292,0.036632,0.038478,0.036251,0.035996,0.037260,0.034226,0.039451,0.037070,0.040399,0.033609,0.036917,0.034879,0.042745,0.045650,0.051094,0.052052,0.057690,0.049680,0.054680,0.048005,0.052849,0.057147,0.054736,0.068560,0.065671,0.073283,0.065972,0.067239,0.063297,0.074440,0.069036,0.070753,0.071826,0.078677,0.075436,0.081346,0.079207,0.079838,0.076361,0.075931,0.069191,0.081647,0.094923,0.098085,0.087025,0.083829,0.073118,0.084463,0.078798,0.079576,0.076155,0.074480,0.080356,0.090335,0.084768,0.088381,0.087982,0.072005,0.088160,0.082047,0.087976,0.079604,0.078604,0.077102,0.077194,0.074197,0.093924,0.079557,0.074269,0.090042,0.079858,0.073061,0.080309,0.075764,0.068536,0.069556,0.081299,0.071023,0.072381,0.066027,0.059613,0.065937,0.055355,0.053097,0.050121,0.044977,0.045023,0.044594,0.036553,0.043959
Load11_cur_mu,0.403188,0.392406,0.389447,0.387886,0.372102,0.380429,0.373298,0.380242,0.365197,0.366801,0.376227,0.367010,0.374269,0.372809,0.379585,0.390538,0.388554,0.403137,0.424610,0.460016,0.473049,0.498379,0.522905,0.551488,0.577540,0.591456,0.618279,0.621352,0.638783,0.669981,0.666646,0.684007,0.695499,0.713714,0.725505,0.743772,0.771719,0.763831,0.790444,0.777324,0.799956,0.786561,0.802602,0.809818,0.799362,0.797785,0.801905,0.797504,0.805639,0.787950,0.791406,0.792966,0.788834,0.810278,0.793012,0.783684,0.770712,0.809687,0.806400,0.814190,0.819841,0.809712,0.807011,0.815890,0.828384,0.812662,0.826196,0.819211,0.826091,0.846048,0.813555,0.837820,0.836193,0.805932,0.800013,0.811148,0.787005,0.790958,0.784759,0.781277,0.755197,0.752398,0.731601,0.698819,0.684972,0.645597,0.613741,0.568655,0.555577,0.508610,0.499257,0.485751,0.454640,0.451272,0.445001,0.438610
Load11_cur_sigma,0.037099,0.041397,0.050171,0.040543,0.038924,0.037572,0.033768,0.042598,0.040394,0.033794,0.033598,0.033647,0.037056,0.036518,0.035423,0.040457,0.037571,0.038021,0.044821,0.053905,0.048182,0.050619,0.045011,0.050300,0.054615,0.062400,0.061449,0.065780,0.070199,0.063088,0.067376,0.066489,0.068637,0.081777,0.061713,0.076251,0.089131,0.073566,0.085365,0.085577,0.082826,0.082960,0.085015,0.085939,0.079603,0.079488,0.070944,0.071450,0.085777,0.088843,0.075543,0.084369,0.086579,0.075677,0.070425,0.080586,0.075444,0.074337,0.083674,0.076835,0.067706,0.071569,0.072020,0.084831,0.078238,0.075602,0.082765,0.085474,0.078528,0.088447,0.089531,0.071337,0.091399,0.076647,0.076177,0.076284,0.076345,0.088024,0.081496,0.069058,0.077467,0.064390,0.070640,0.082093,0.067405,0.066755,0.057160,0.067123,0.050999,0.056658,0.059201,0.040721,0.041437,0.046294,0.049681,0.048128
Load12_cur_mu,0.402418,0.390054,0.391977,0.380571,0.387366,0.378353,0.372789,0.374151,0.366445,0.373676,0.363863,0.376065,0.370098,0.378954,0.388745,0.398217,0.407730,0.419834,0.438721,0.469676,0.479026,0.494379,0.534590,0.557016,0.557879,0.585016,0.602745,0.617851,0.629109,0.651790,0.664718,0.699139,0.700541,0.711240,0.750914,0.758932,0.760518,0.779496,0.777744,0.765778,0.785663,0.786156,0.801290,0.823113,0.811332,0.788419,0.791749,0.811726,0.805945,0.802505,0.794991,0.799221,0.796159,0.808331,0.811959,0.796944,0.776471,0.800107,0.811411,0.818869,0.822824,0.800298,0.834192,0.823282,0.817621,0.821011,0.807711,0.826302,0.823228,0.814988,0.824369,0.812582,0.824586,0.823975,0.794926,0.798509,0.790796,0.793642,0.782989,0.781810,0.761716,0.742174,0.727949,0.710561,0.681874,0.647862,0.612504,0.572810,0.550955,0.521171,0.503296,0.485864,0.449803,0.445458,0.444129,0.434564
Load12_cur_sigma,0.038671,0.043165,0.040605,0.038443,0.029946,0.038322,0.038361,0.042936,0.036656,0.039149,0.034414,0.042991,0.040986,0.030963,0.040153,0.044918,0.040936,0.045082,0.038773,0.043830,0.050741,0.042193,0.050278,0.046989,0.061818,0.060232,0.060159,0.059986,0.062785,0.064391,0.068855,0.063874,0.069747,0.060570,0.074943,0.070224,0.084685,0.068294,0.087874,0.071150,0.085989,0.065917,0.079880,0.075941,0.079971,0.081018,0.080291,0.082910,0.070519,0.085716,0.070559,0.080753,0.070480,0.093252,0.091846,0.076500,0.072901,0.078614,0.076538,0.094499,0.073338,0.092798,0.076846,0.084741,0.080447,0.082303,0.077347,0.072224,0.073330,0.088971,0.077227,0.081893,0.081849,0.081574,0.072335,0.083708,0.070763,0.082811,0.073964,0.096845,0.080722,0.070527,0.074545,0.062763,0.064995,0.061685,0.055866,0.058525,0.050808,0.053214,0.047858,0.046079,0.043280,0.035964,0.042389,0.039763
Load13_cur_mu,0.397408,0.396494,0.400465,0.379207,0.370552,0.376747,0.377811,0.366192,0.366065,0.377177,0.366687,0.375702,0.366846,0.383697,0.387929,0.392580,0.395317,0.417767,0.441644,0.456307,0.477597,0.495222,0.533110,0.557507,0.586959,0.587888,0.610828,0.615112,0.627495,0.663119,0.681070,0.680375,0.710449,0.709040,0.745158,0.748250,0.752553,0.771278,0.767662,0.775169,0.794470,0.796960,0.818392,0.808714,0.794189,0.806076,0.777720,0.803772,0.810296,0.784106,0.780753,0.805548,0.806073,0.798792,0.819385,0.805880,0.800995,0.802350,0.799906,0.806340,0.795953,0.829403,0.826967,0.823493,0.827354,0.824072,0.837627,0.823957,0.839857,0.833953,0.809947,0.828650,0.815850,0.827433,0.797837,0.827277,0.803734,0.797973,0.798835,0.786625,0.762099,0.748583,0.707826,0.692007,0.667069,0.631475,0.625730,0.579823,0.556910,0.523937,0.502694,0.472062,0.445192,0.454970,0.453361,0.443765
Load13_cur_sigma,0.031355,0.037488,0.041855,0.037384,0.041119,0.036133,0.035937,0.040525,0.034455,0.038743,0.037925,0.048248,0.036197,0.030519,0.035523,0.039917,0.036364,0.050067,0.040659,0.047528,0.049080,0.058215,0.045212,0.051069,0.057397,0.060279,0.052251,0.070559,0.054881,0.061695,0.069874,0.066191,0.063378,0.068287,0.084979,0.075425,0.079902,0.084080,0.073073,0.073032,0.075317,0.069966,0.075419,0.092882,0.081262,0.076618,0.081822,0.097330,0.077505,0.069988,0.080397,0.067207,0.081401,0.076585,0.092496,0.074604,0.082918,0.082623,0.076925,0.064177,0.069686,0.076109,0.084093,0.075121,0.085580,0.078367,0.071500,0.072913,0.082307,0.082690,0.075460,0.101872,0.084818,0.087721,0.078932,0.089717,0.078104,0.092673,0.079719,0.079662,0.079503,0.070640,0.086719,0.062087,0.061615,0.065460,0.068409,0.059476,0.055335,0.049997,0.050281,0.044558,0.037140,0.039594,0.044462,0.044283
